timestamp,best_bid,best_ask,spread
2025-03-25 14:29:55,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:29:57,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:29:59,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:00,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:01,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:02,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:07,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:11,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:12,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:23,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:26,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:27,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:28,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:29,0.0421,0.0422,0.00010000000000000286
2025-03-25 14:30:32,0.0421,0.0421,0.0
2025-03-25 14:30:33,0.0421,0.0421,0.0
2025-03-25 14:30:36,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:37,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:38,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:39,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:40,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:48,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:58,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:30:59,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:00,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:01,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:02,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:03,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:04,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:06,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:07,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:08,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:12,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:13,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:14,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:15,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:17,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:28,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:31,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:33,0.042,0.0421,9.999999999999593e-05
2025-03-25 14:31:35,0.0421,0.0421,0.0
2025-03-25 14:31:36,0.0421,0.0421,0.0
2025-03-25 14:31:38,0.0421,0.0421,0.0
2025-03-25 14:31:39,0.0421,0.0421,0.0
2025-03-25 14:31:40,0.0421,0.0421,0.0
2025-03-25 14:31:41,0.0421,0.0421,0.0
2025-03-25 14:31:42,0.0421,0.0421,0.0
2025-03-25 14:31:44,0.0421,0.0421,0.0
2025-03-25 14:31:45,0.0421,0.0421,0.0
2025-03-25 14:31:47,0.0421,0.0421,0.0
2025-03-25 14:31:57,0.0421,0.0421,0.0
2025-03-25 14:32:00,0.0421,0.0421,0.0
2025-03-25 14:32:01,0.0421,0.0421,0.0
2025-03-25 14:32:02,0.0421,0.0421,0.0
2025-03-25 14:32:05,0.0421,0.0421,0.0
2025-03-25 14:32:06,0.0421,0.0421,0.0
2025-03-25 14:32:07,0.0421,0.0421,0.0
2025-03-25 14:32:08,0.0421,0.0421,0.0
2025-03-25 14:32:09,0.0421,0.0421,0.0
2025-03-25 14:32:45,0.0421,0.0421,0.0
2025-03-25 14:32:46,0.0421,0.0421,0.0
2025-03-25 14:32:49,0.0421,0.0421,0.0
2025-03-25 14:32:50,0.0421,0.0421,0.0
2025-03-25 14:32:51,0.0421,0.0421,0.0
2025-03-25 14:32:54,0.0421,0.0421,0.0
2025-03-25 14:32:55,0.0421,0.0421,0.0
2025-03-25 14:33:01,0.0421,0.0421,0.0
2025-03-25 14:33:02,0.0421,0.0421,0.0
2025-03-25 14:33:03,0.0421,0.0421,0.0
2025-03-25 14:33:04,0.0421,0.0421,0.0
2025-03-25 14:33:05,0.0421,0.0421,0.0
2025-03-25 14:33:06,0.0421,0.0421,0.0
2025-03-25 14:33:08,0.0421,0.0421,0.0
2025-03-25 14:33:09,0.0421,0.0421,0.0
2025-03-25 14:33:10,0.0421,0.0421,0.0
2025-03-25 14:33:11,0.0421,0.0421,0.0
2025-03-25 14:33:12,0.0421,0.0421,0.0
2025-03-25 14:33:13,0.0421,0.0421,0.0
