2025-05-06 16:39:44,076 [INFO] Orderbook database initialized.
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for VIBUSDT
2025-05-06 16:39:44,077 [INFO] Started orderbook thread for BTCUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for ETHUSDT
2025-05-06 16:39:44,078 [INFO] Started orderbook thread for BNBUSDT
2025-05-06 16:39:44,888 [INFO] [VIBUSDT] websocket opened
2025-05-06 16:39:44,891 [INFO] [ETHUSDT] websocket opened
2025-05-06 16:39:44,898 [INFO] [BTCUSDT] websocket opened
2025-05-06 16:39:44,899 [INFO] [BNBUSDT] websocket opened
2025-05-06 16:42:00,034 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:00,035 [INFO] [ETHUSDT] Bid 1797.3400, Ask 1797.3500, Spread 0.0100
2025-05-06 16:42:00,923 [INFO] [BTCUSDT] Bid 94182.9900, Ask 94183.0000, Spread 0.0100
2025-05-06 16:42:00,924 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:01,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:01,920 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:01,921 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:02,013 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:05,261 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:05,262 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:05,262 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:05,437 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:05,443 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:05,444 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:05,448 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:05,457 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:05,463 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:06,178 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:06,180 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:06,183 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:06,917 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:06,921 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:07,010 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:07,921 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:07,921 [INFO] [ETHUSDT] Bid 1797.0000, Ask 1797.0100, Spread 0.0100
2025-05-06 16:42:08,090 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:08,917 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:08,921 [INFO] [ETHUSDT] Bid 1797.0900, Ask 1797.1000, Spread 0.0100
2025-05-06 16:42:09,013 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:09,916 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:09,921 [INFO] [ETHUSDT] Bid 1797.0900, Ask 1797.1000, Spread 0.0100
2025-05-06 16:42:10,009 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:11,400 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
2025-05-06 16:42:11,401 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:11,401 [INFO] [BNBUSDT] Bid 598.3700, Ask 598.3800, Spread 0.0100
2025-05-06 16:42:11,916 [INFO] [BTCUSDT] Bid 94175.6800, Ask 94175.6900, Spread 0.0100
2025-05-06 16:42:11,921 [INFO] [ETHUSDT] Bid 1797.1900, Ask 1797.2000, Spread 0.0100
