LocalTime,TradeID,Side,Price,Quantity,BuyerOrderID,SellerOrderID,TradeTime
2025-03-25 10:40:09,19192928,SELL,0.0424,518.0,,,2025-03-25 10:40:09
2025-03-25 10:40:09,19192929,SELL,0.04239,200.0,,,2025-03-25 10:40:09
2025-03-25 10:40:16,19192930,BUY,0.04243,304.0,,,2025-03-25 10:40:16
2025-03-25 10:40:16,19192931,BUY,0.04244,298.0,,,2025-03-25 10:40:16
2025-03-25 10:40:16,19192932,BUY,0.04245,98.0,,,2025-03-25 10:40:16
2025-03-25 10:40:44,19192933,SELL,0.04238,149.0,,,2025-03-25 10:40:44
2025-03-25 10:40:44,19192934,SELL,0.04237,143.0,,,2025-03-25 10:40:44
2025-03-25 10:40:44,19192935,SELL,0.04236,132.0,,,2025-03-25 10:40:44
2025-03-25 10:40:44,19192936,SELL,0.04236,350.0,,,2025-03-25 10:40:44
2025-03-25 10:40:44,19192937,SELL,0.04235,200.0,,,2025-03-25 10:40:44
2025-03-25 10:41:24,19192938,BUY,0.04239,201.0,,,2025-03-25 10:41:24
2025-03-25 10:41:25,19192939,BUY,0.04239,153.0,,,2025-03-25 10:41:25
2025-03-25 10:41:25,19192940,BUY,0.0424,156.0,,,2025-03-25 10:41:25
2025-03-25 10:41:25,19192941,BUY,0.0424,62.0,,,2025-03-25 10:41:25
2025-03-25 10:41:31,19192942,BUY,0.04241,173.0,,,2025-03-25 10:41:31
2025-03-25 10:41:31,19192943,BUY,0.04242,10.0,,,2025-03-25 10:41:31
2025-03-25 10:41:39,19192944,BUY,0.04241,176.0,,,2025-03-25 10:41:39
2025-03-25 10:41:39,19192945,BUY,0.04242,10.0,,,2025-03-25 10:41:39
2025-03-25 10:41:47,19192946,BUY,0.04241,160.0,,,2025-03-25 10:41:47
2025-03-25 10:42:12,19192947,BUY,0.04239,179.0,,,2025-03-25 10:42:12
2025-03-25 10:42:12,19192948,BUY,0.04241,60.0,,,2025-03-25 10:42:12
2025-03-25 10:42:25,19192949,SELL,0.04235,170.0,,,2025-03-25 10:42:25
2025-03-25 10:42:25,19192950,SELL,0.04234,49.0,,,2025-03-25 10:42:25
2025-03-25 10:42:46,19192951,BUY,0.04238,181.0,,,2025-03-25 10:42:46
2025-03-25 10:42:46,19192952,BUY,0.04239,17.0,,,2025-03-25 10:42:46
2025-03-25 10:43:09,19192953,BUY,0.04239,163.0,,,2025-03-25 10:43:09
2025-03-25 10:43:09,19192954,BUY,0.04241,106.0,,,2025-03-25 10:43:09
2025-03-25 10:44:05,19192955,BUY,0.04239,545.0,,,2025-03-25 10:44:05
2025-03-25 10:44:05,19192956,BUY,0.0424,141.0,,,2025-03-25 10:44:05
2025-03-25 10:45:00,19192957,SELL,0.04236,185.0,,,2025-03-25 10:45:00
2025-03-25 10:45:00,19192958,SELL,0.04235,181.0,,,2025-03-25 10:45:00
2025-03-25 10:45:00,19192959,SELL,0.04234,121.0,,,2025-03-25 10:45:00
2025-03-25 10:45:00,19192960,SELL,0.04233,143.0,,,2025-03-25 10:45:00
